team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,date,time,site,team_score,opponent_score
Loyola Maryland,UMBC,13,"13 Tañedo, Caramina",,28,1-5,0-2,3-5,0-1,1,0,1,3,0,0,5,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,01,"01 Ratigan, Kelly",,14,1-4,1-4,0-0,0-2,2,1,0,0,0,1,3,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,11,"11 Glezen, Emma",,7,0-0,0-0,2-2,0-0,0,4,0,1,0,0,2,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,35,"35 Therien, Ava",,3,0-2,0-0,0-0,1-0,1,0,0,0,0,0,0,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,TM,TM TEAM,,0,0-0,0-0,0-0,1-2,3,0,0,0,0,0,0,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Monmouth,Loyola Maryland,03,"03 Coleman,Anaya",*,31,4-5,3-3,2-2,0-4,4,4,5,5,1,2,13,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",59,61
Monmouth,Loyola Maryland,10,"10 Tinsley,Brianna",*,34,3-8,1-5,2-2,0-4,4,0,4,4,0,1,9,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",59,61
Monmouth,Loyola Maryland,24,"24 Kranbuhl,Belle",*,21,4-5,0-0,0-0,1-1,2,3,2,1,2,0,8,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",59,61
Monmouth,Loyola Maryland,04,"04 Donovan,Kaci",*,18,2-5,2-3,0-0,2-2,4,0,1,3,1,0,6,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",59,61
Monmouth,Loyola Maryland,11,"11 Marsicano,Elizabeth",*,16,0-3,0-2,0-0,0-0,0,4,2,2,0,1,0,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",59,61
Monmouth,Loyola Maryland,25,"25 Thomas,Lucy",,24,6-8,1-2,1-4,1-5,6,3,0,1,1,0,14,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",59,61
Monmouth,Loyola Maryland,22,"22 Louro,Jen",,11,2-3,2-3,0-0,0-1,1,1,0,0,0,0,6,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",59,61
Monmouth,Loyola Maryland,20,"20 Hall,Jania",,5,1-1,0-0,1-2,0-0,0,0,0,0,0,0,3,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",59,61
Monmouth,Loyola Maryland,05,"05 Panayides,Antonia",,27,0-1,0-1,0-0,0-2,2,4,1,0,0,1,0,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",59,61
Monmouth,Loyola Maryland,15,"15 Carroll,Amiya",,13,0-4,0-2,0-0,0-4,4,1,0,1,0,1,0,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",59,61
Monmouth,Loyola Maryland,TM,TM TEAM,,0,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",59,61
Loyola Maryland,Monmouth,45,"45 Therien, Lex",*,36,7-14,0-1,5-6,0-9,9,2,0,1,0,3,19,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,04,"04 Dixon, Taleah",*,34,4-13,3-7,3-4,0-1,1,3,2,5,0,2,14,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
