Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT,FTM/A,PCT,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG,Link,Date
at Mount St. Mary's,12/06/19,75-81,L,25-55,.455,5-19,.263,20-25,.800,17,20,37,37.8,20,17,28,2,16,75,64.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9487,2019-20
at Maryland,12/08/19,45-105,L,18-55,.327,2-15,.133,7-11,.636,3,19,22,36.0,14,11,25,0,12,45,62.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9488,2019-20
vs Monmouth,12/20/19,64-48,W,23-58,.397,9-16,.563,9-16,.563,11,22,33,35.7,17,17,10,3,16,64,62.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9489,2019-20
vs Dartmouth,12/31/19,72-56,W,26-58,.448,7-22,.318,13-15,.867,7,28,35,35.6,18,18,17,1,17,72,63.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9490,2019-20
vs Holy Cross,01/02/20,56-64,L,23-62,.371,6-27,.222,4-7,.571,14,17,31,35.3,20,13,17,5,13,56,62.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9491,2019-20
vs Lehigh,01/05/20,53-55,L,20-56,.357,5-15,.333,8-11,.727,8,30,38,35.5,14,10,17,4,9,53,61.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9492,2019-20
vs Colgate,01/08/20,74-76,L,26-69,.377,7-22,.318,15-15,1.000,14,21,35,35.4,13,16,12,2,7,74,62.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9493,2019-20
at Lafayette,01/11/20,52-55,L,21-64,.328,5-21,.238,5-9,.556,15,26,41,35.8,22,13,21,1,10,52,62.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9494,2019-20
at Boston University,01/15/20,42-44,L,16-52,.308,6-18,.333,4-7,.571,5,27,32,35.6,19,8,12,3,7,42,60.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9495,2019-20
vs Army West Point,01/18/20,68-59,W,24-53,.453,3-12,.250,17-24,.708,9,21,30,35.2,16,13,15,1,18,68,61.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9496,2019-20
at American,01/22/20,44-63,L,18-56,.321,1-11,.091,7-11,.636,13,21,34,35.2,24,11,20,1,11,44,60.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9497,2019-20
