#,Player,GP,GS,TOT_Minutes,AVG_Minutes,FGM_FG,FGA_FG,FG%_FG,3PT_3PT,3PTA_3PT,3PT%_3PT,FTM_FT,FTA_FT,FT%_FT,PTS_Scoring,AVG_Scoring,OFF_Rebounds,DEF_Rebounds,TOT_Rebounds,AVG_Rebounds,PF,AST,TO,STL,BLK,Bio Link,Position,Height,Class,Highschool,Hometown,Prev School
03,"Marshall, Kara",19,2,290,15.3,18,87,.207,9,54,.167,30,43,.698,75,3.9,7,24,31,1.6,39,19,35,17,3,https://loyolagreyhounds.com/sports/womens-basketball/roster/kara-marshall/3716,Guard,5-8,Senior,Gaithersburg,"Gaithersburg, Md.",
32,"Smith, Steph",30,28,752,25.1,39,139,.281,16,69,.232,16,31,.516,110,3.7,18,94,112,3.7,66,37,57,35,15,https://loyolagreyhounds.com/sports/womens-basketball/roster/steph-smith/3724,Forward,Fifth Year,Mount St. Joseph Academy,"Lower Gwynedd, Pa.",,
22,"Barazotti, Alex",1,0,3,3.0,1,2,.500,1,2,.500,0,0,.000,3,3.0,0,0,0,0.0,0,0,1,0,0,,,,,,,
33,"Monzo, Carly",27,0,364,13.5,25,96,.260,8,48,.167,6,12,.500,64,2.4,15,29,44,1.6,35,21,20,9,7,https://loyolagreyhounds.com/sports/womens-basketball/roster/carly-monzo/3725,Guard/Forward,5-10,Junior,Mount St. Joseph Academy,"Flourtown, Pa.",
30,"Kolberg, Karley",6,0,71,11.8,2,8,.250,0,0,.000,3,6,.500,7,1.2,5,6,11,1.8,7,4,2,0,2,https://loyolagreyhounds.com/sports/womens-basketball/roster/karley-kolberg/3723,Forward,5-10,Sophomore,Hononegah,"Rockton, Ill.",
24,"Kilcullen, Maria",1,0,5,5.0,0,1,.000,0,1,.000,0,0,.000,0,0.0,0,0,0,0.0,0,1,0,1,0,,,,,,,
14,"McDonald, Madelene",1,0,5,5.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/madelene-mcdonald/3719,Guard,5-10,Senior,Southern Lehigh,"Coopersburg, Pa.",
31,"Schultz, Tori",1,0,2,2.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0,,,,,,,
TM,Team,30,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,79,58,137,4.6,0,0,34,0,0,,,,,,,
35,"Brown, Nai",26,20,754,29.0,141,381,.370,22,73,.301,76,117,.650,380,14.6,37,95,132,5.1,81,29,61,19,8,https://loyolagreyhounds.com/sports/womens-basketball/roster/nai-brown/3736,Guard,5-9,Junior,Sanford School,"Newark, Del.",
03,"Marshall, Kara",10,10,290,29.0,39,104,.375,21,57,.368,36,53,.679,135,13.5,5,16,21,2.1,36,22,42,22,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/kara-marshall/3727,Guard,5-8,Senior,Gaithersburg,"Gaithersburg, Md.",
23,"Mirarchi, Lisa",30,27,1084,36.1,64,185,.346,12,37,.324,87,103,.845,227,7.6,27,66,93,3.1,83,106,100,43,4,https://loyolagreyhounds.com/sports/womens-basketball/roster/lisa-mirarchi/3732,Guard,5-8,Senior,Villa Maria Academy,"West Chester, Pa.",
33,"Krusen, Nicole",30,18,827,27.6,64,183,.350,48,152,.316,29,34,.853,205,6.8,10,63,73,2.4,36,18,29,13,2,https://loyolagreyhounds.com/sports/womens-basketball/roster/nicole-krusen/3735,Guard,Senior,Georgetown Visitation,"Rockville, Md.",,
13,"Padgett, Tiffany",29,22,718,24.8,73,206,.354,14,51,.275,19,37,.514,179,6.2,41,117,158,5.4,85,38,40,33,19,https://loyolagreyhounds.com/sports/womens-basketball/roster/tiffany-padgett/3728,Center,6-1,Sophomore,St. Vincent Pallotti,"Laurel, Md.",
31,"Offodile, Nneka",30,30,841,28.0,65,184,.353,1,10,.100,14,22,.636,145,4.8,38,99,137,4.6,97,49,64,37,35,https://loyolagreyhounds.com/sports/womens-basketball/roster/nneka-offodile/3733,Forward,6-1,Senior,Walsh Jesuit,"Kent, Ohio",
42,"Perry, Jeneh",30,6,658,21.9,48,133,.361,0,1,.000,43,78,.551,139,4.6,57,107,164,5.5,71,18,65,21,2,https://loyolagreyhounds.com/sports/womens-basketball/roster/jeneh-perry/3737,Forward,Senior,Girls Preparatory School,"Chattanooga, Tenn.",,
20,"Logan, Diana",16,0,252,15.8,26,87,.299,4,27,.148,14,22,.636,70,4.4,4,15,19,1.2,15,9,18,7,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/diana-logan/3729,Guard,5-11,Senior,North Point,"Waldorf, Md.",
21,"Daugherty, Lauren",27,8,409,15.1,25,65,.385,3,9,.333,26,33,.788,79,2.9,17,47,64,2.4,36,8,23,9,4,https://loyolagreyhounds.com/sports/womens-basketball/roster/lauren-daugherty/3730,Forward,Senior,Hanover Park,"Florham Park, N.J.",,
22,"Butler, Brittany",25,9,242,9.7,15,52,.288,2,13,.154,5,9,.556,37,1.5,6,11,17,0.7,13,10,12,10,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/brittany-butler/3731,Guard,5-9,Sophomore,Howard,"Elkridge, Md.",
21,"Sheahin, Katie",8,6,284,35.5,44,105,.419,13,40,.325,23,28,.821,124,15.5,4,40,44,5.5,17,29,24,20,9,https://loyolagreyhounds.com/sports/womens-basketball/roster/katie-sheahin/3741,Guard,5-10,Senior,Our Lady of Good Counsel,"Brookeville, Md.",
03,"Marshall, Kara",8,5,208,26.0,21,69,.304,7,27,.259,16,22,.727,65,8.1,7,6,13,1.6,19,9,25,12,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/kara-marshall/3738,Guard,5-8,Senior,Gaithersburg,"Gaithersburg, Md.",
30,"Sutherland, Alyssa",8,7,237,29.6,23,54,.426,6,18,.333,4,6,.667,56,7.0,7,33,40,5.0,27,17,23,11,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/alyssa-sutherland/3745,Forward,6-1,Senior,West Genesee,"Syracuse, N.Y.",
33,"Krusen, Nicole",8,7,234,29.3,17,48,.354,13,38,.342,7,8,.875,54,6.8,8,24,32,4.0,9,5,11,2,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/nicole-krusen/3748,Guard,Senior,Georgetown Visitation,"Rockville, Md.",,
31,"Offodile, Nneka",8,7,233,29.1,16,43,.372,1,1,1.000,9,13,.692,42,5.3,6,37,43,5.4,20,8,15,8,6,https://loyolagreyhounds.com/sports/womens-basketball/roster/nneka-offodile/3746,Forward,6-1,Senior,Walsh Jesuit,"Kent, Ohio",
20,"Logan, Diana",8,2,127,15.9,13,32,.406,5,11,.455,7,11,.636,38,4.8,3,5,8,1.0,3,2,13,1,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/diana-logan/3740,Guard,5-11,Senior,North Point,"Waldorf, Md.",
23,"Walker, Candice",7,0,62,8.9,7,18,.389,4,6,.667,0,0,.000,18,2.6,2,3,5,0.7,1,5,7,2,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/candice-walker/3743,Guard,5-5,Fifth Year,Towson Catholic,"Baltimore, Md.",
13,"Padgett, Tiffany",8,0,80,10.0,3,11,.273,1,3,.333,7,10,.700,14,1.8,3,13,16,2.0,10,0,1,0,3,https://loyolagreyhounds.com/sports/womens-basketball/roster/tiffany-padgett/3739,Center,6-1,Sophomore,St. Vincent Pallotti,"Laurel, Md.",
32,"Smith, Steph",6,0,65,10.8,3,9,.333,0,1,.000,4,6,.667,10,1.7,4,12,16,2.7,12,3,5,1,3,https://loyolagreyhounds.com/sports/womens-basketball/roster/steph-smith/3747,Forward,Fifth Year,Mount St. Joseph Academy,"Lower Gwynedd, Pa.",,
22,"Butler, Brittany",3,0,7,2.3,1,3,.333,0,0,.000,0,0,.000,2,0.7,0,0,0,0.0,0,0,0,0,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/brittany-butler/3742,Guard,5-9,Sophomore,Howard,"Elkridge, Md.",
01,"Robinson, Bryanna",6,0,25,4.2,0,10,.000,0,5,.000,3,6,.500,3,0.5,3,1,4,0.7,5,1,2,1,0,,,,,,,
42,"Perry, Jeneh",5,0,17,3.4,0,3,.000,0,0,.000,1,2,.500,1,0.2,1,2,3,0.6,3,1,3,2,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/jeneh-perry/3750,Forward,Senior,Girls Preparatory School,"Chattanooga, Tenn.",,
35,"Brown, Nai",6,1,19,3.2,0,2,.000,0,0,.000,0,0,.000,0,0.0,0,3,3,0.5,0,0,5,1,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/nai-brown/3749,Guard,5-9,Junior,Sanford School,"Newark, Del.",
25,"Smith, Julie",2,0,2,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,1,1,0.5,0,0,0,0,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/julie-smith/3744,Guard,5-7,Junior,Montgomery,"Skillman, N.J.",
