team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,date,time,site,team_score,opponent_score
Loyola Maryland,Hofstra,04,"04 Dixon, Taleah",*,41,5-18,3-6,8-8,0-3,3,4,2,1,0,1,21,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
Loyola Maryland,Hofstra,22,"22 Rozzi, Bri",*,40,3-9,1-4,4-5,0-3,3,2,4,3,0,3,11,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
Loyola Maryland,Hofstra,45,"45 Therien, Lex",*,32,4-12,0-1,1-5,5-3,8,4,2,2,0,4,9,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
Loyola Maryland,Hofstra,01,"01 Ratigan, Kelly",*,26,3-7,1-4,0-0,0-2,2,2,0,0,0,0,7,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
Loyola Maryland,Hofstra,10,"10 Sims, Koi",*,29,2-8,0-1,0-0,2-3,5,3,1,1,1,2,4,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
Loyola Maryland,Hofstra,13,"13 Tañedo, Caramina",,26,2-3,0-1,0-2,3-2,5,0,0,1,0,3,4,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
Loyola Maryland,Hofstra,02,"02 Van-Otoo, Meliah",,6,0-0,0-0,3-3,0-1,1,1,1,0,0,0,3,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
Loyola Maryland,Hofstra,15,"15 Salmerón, Laura",,13,0-3,0-3,2-2,0-3,3,1,0,2,0,1,2,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
Loyola Maryland,Hofstra,23,"23 Espinal, Marta",,11,0-1,0-1,1-2,1-0,1,2,1,2,0,0,1,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
Loyola Maryland,Hofstra,12,"12 Garcia, Cristina",,1,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
Loyola Maryland,Hofstra,35,"35 Therien, Ava",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
Loyola Maryland,Hofstra,TM,TM TEAM,,0,0-0,0-0,0-0,1-3,4,0,0,3,0,0,0,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
Loyola Maryland,Colgate,45,"45 Therien, Lex",*,35,7-10,1-1,3-5,2-8,10,2,1,2,0,1,18,12/30/22,4:00 PM,"Cotterell Court, Hamilton, NY",61,56
