team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Monmouth 59,Loyola Maryland 61,05,"05 Panayides,Antonia",,27,0-1,0-1,0-0,0-2,2,4,1,0,0,1,0
Monmouth 59,Loyola Maryland 61,15,"15 Carroll,Amiya",,13,0-4,0-2,0-0,0-4,4,1,0,1,0,1,0
Monmouth 59,Loyola Maryland 61,TM,TM TEAM,,0,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0
Loyola Maryland 61,Monmouth 59,45,"45 Therien, Lex",*,36,7-14,0-1,5-6,0-9,9,2,0,1,0,3,19
Loyola Maryland 61,Monmouth 59,04,"04 Dixon, Taleah",*,34,4-13,3-7,3-4,0-1,1,3,2,5,0,2,14
Loyola Maryland 61,Monmouth 59,10,"10 Sims, Koi",*,31,5-12,0-0,0-3,6-3,9,0,3,0,0,1,10
Loyola Maryland 61,Monmouth 59,22,"22 Rozzi, Bri",*,35,1-7,1-4,0-0,1-0,1,3,3,2,0,1,3
Loyola Maryland 61,Monmouth 59,02,"02 Van-Otoo, Meliah",*,6,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0
Loyola Maryland 61,Monmouth 59,13,"13 Tañedo, Caramina",,35,3-7,2-4,3-3,3-0,3,1,2,1,0,1,11
Loyola Maryland 61,Monmouth 59,11,"11 Glezen, Emma",,8,0-0,0-0,2-2,2-0,2,0,1,0,0,1,2
Loyola Maryland 61,Monmouth 59,12,"12 Garcia, Cristina",,8,1-1,0-0,0-0,1-0,1,2,0,0,0,0,2
Loyola Maryland 61,Monmouth 59,01,"01 Ratigan, Kelly",,4,0-2,0-2,0-0,0-0,0,0,0,1,0,0,0
Loyola Maryland 61,Monmouth 59,23,"23 Espinal, Marta",,3,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0
Loyola Maryland 61,Monmouth 59,TM,TM TEAM,,0,0-0,0-0,0-0,2-3,5,0,0,0,0,0,0
Loyola Maryland 58,George Mason 66,04,"04 Dixon, Taleah",*,35,10-17,2-4,6-6,0-1,1,3,0,3,0,4,28
Loyola Maryland 58,George Mason 66,45,"45 Therien, Lex",*,30,5-13,0-1,3-3,4-4,8,4,1,2,0,1,13
Loyola Maryland 58,George Mason 66,22,"22 Rozzi, Bri",*,37,3-8,1-3,0-0,1-1,2,1,0,0,0,1,7
